VthGmList,,,,,,,
TimeList,2.5,3,3.5,3.7,4,4.3,5
1,0,0,0,0,0,0,0
10,0.249992661,0.175010303,0.26767291,0.407935031,0.446486423,0.480355022,0.70944755
50,0.256552632,0.22962281,0.325493841,0.529116134,0.539108718,0.593407998,0.792962348
100,0.263477602,0.323655643,0.376341345,0.561691353,0.587498981,0.609444675,0.84526592
200,0.241257761,0.371487194,0.457549336,0.588133683,0.616330762,0.660806663,0.882616813
400,0.28833,0.346135463,0.507857056,0.581818055,0.655641673,0.679057362,0.923077633
600,0.264420431,0.380372215,0.490553997,0.631842271,0.671153499,0.681460116,0.941749871
800,0.303582242,0.428552514,0.543007646,0.615671594,0.686483406,0.720713303,0.95923075
1000,0.380361778,0.427578365,0.535189188,0.636764209,0.683230616,0.736592485,0.968751781
1200,0.372537559,0.428018357,0.578360671,0.630843471,0.70343889,0.755847721,0.971536369
1400,0.302773693,0.447429174,0.589884607,0.625167807,0.704436796,0.755098626,0.989094906
1600,0.324294307,0.453068308,0.585375015,0.640939541,0.707789258,0.756440738,0.992481383
1800,0.449839914,0.425484633,0.596290821,0.648630415,0.704406167,0.761040536,0.995520813
2000,0.363931553,0.44931271,0.61164262,0.650991907,0.70111089,0.764401522,1
