VthGmList,,,,
TimeList,25,80,125,150
1,0,0,0,0
10,0.007898741,0.208322231,0.425741648,0.446486423
50,0.008885865,0.322123544,0.531944234,0.539108718
100,0.006600488,0.386389226,0.565467402,0.587498981
200,0.007714021,0.435384862,0.600025413,0.616330762
400,0.006635771,0.459136405,0.607274083,0.655641673
600,0.008638684,0.541371858,0.608308861,0.671153499
800,0.008127799,0.559380395,0.64923306,0.686483406
1000,0.006895271,0.573293843,0.652873405,0.683230616
1200,0.007426283,0.601312652,0.670969515,0.70343889
1400,0.007803718,0.605552061,0.684826467,0.704436796
1600,0.008286923,0.610273522,0.692514635,0.707789258
1800,0.007634171,0.60179133,0.675439853,0.704406167
2000,0.008055752,0.622023446,0.688509047,0.70111089
